admission_number,net_value
PWA2254,-
PWA2258,"51,500"
PWA2262,-
PWA2264,-
PWA2267,"44,250"
PWA2269,50
PWA2272,-
PWA2273,-
PWA2274,"3,000"
PWA2276,-
PWA2283,-
PWA2284,(300)
PWA2285,-
PWA2286,-
PWA2287,-
PWA2288,-
PWA2290,-
PWA2291,"1,500"
PWA2292,-
PWA2294,-
PWA2295,-
PWA2296,-
PWA2297,-
PWA2298,-
PWA2299,"12,000"
PWA2302,-
PWA2304,"(10,000)"
PWA2307,-
PWA2312,-
PWA2313,"(1,000)"
PWA2314,-
PWA2316,"(3,500)"
PWA2317,"5,000"
PWA2326,"10,000"
PWA2328,-
PWA2329,-
PWA2331,"1,000"
PWA2332,-
PWA2333,"(1,000)"
PWA2336,-
PWA2338,"68,500"
PWA2340,-
PWA2344,"4,000"
PWA2345,-
PWA2346,(500)
PWA2347,"3,000"
PWA2348,-
PWA2350,"4,000"
PWA2356,-
PWA2358,-
PWA2359,-
PWA2360,-
PWA2362,-
PWA2363,"12,000"
PWA2364,-
PWA2365,-
PWA2368,"18,775"
PWA2369,-
PWA2370,"3,000"
PWA2371,-
PWA2372,-
PWA2374,"44,250"
PWA2375,-
PWA2380,"5,000"
PWA2384,-
PWA2388,-
PWA2392,-
PWA2394,-
PWA2395,"2,300"
PWA2398,-
PWA2401,-
PWA2405,-
PWA2408,-
PWA2410,-
PWA2411,-
PWA2413,-
PWA2414,-
PWA2415,-
PWA2416,-
PWA2417,"10,500"
PWA2418,-
PWA2419,"1,200"
PWA2420,-
PWA2421,"(1,000)"
PWA2422,-
PWA2425,(500)
PWA2429,(500)
PWA2430,-
PWA2434,-
PWA2435,-
PWA2436,-
PWA2439,"8,500"
PWA2440,-
PWA2442,-
PWA2445,-
PWA2446,-
PWA2448,"40,500"
PWA2451,"6,000"
PWA2452,-
PWA2453,-
PWA2454,-
PWA2456,-
PWA2459,-
PWA2460,-
PWA2462,-
PWA2463,"2,000"
PWA2464,"2,500"
PWA2466,-
PWA2468,-
PWA2469,-
PWA2472,-
PWA2473,-
PWA2475,-
PWA2479,-
PWA2481,-
PWA2482,-
PWA2484,-
PWA2487,-
PWA2490,-
PWA2491,-
PWA2494,-
PWA2502,-
PWA2503,"1,500"
PWA2504,600
PWA2505,-
PWA2506,-
PWA2507,"(1,750)"
PWA2508,-
PWA2510,-
PWA2512,-
PWA2514,-
PWA2515,-
PWA2517,-
PWA2518,-
PWA2519,-
PWA2520,"4,500"
PWA2521,-
PWA2524,-
PWA2525,-
PWA2526,-
PWA2527,-
PWA2528,-
PWA2529,-
PWA2530,-
PWA2531,-
PWA2532,500
PWA2533,-
PWA2534,-
PWA2535,(500)
PWA2538,-
PWA2539,-
PWA2540,-
PWA2542,"4,250"
PWA2544,-
PWA2548,"1,350"
PWA2551,-
PWA2552,"(1,000)"
PWA2553,"1,500"
PWA2555,-
PWA2559,(300)
PWA2560,-
PWA2561,-
PWA2563,-
PWA2564,-
PWA2568,-
PWA2569,-
PWA2570,-
PWA2571,-
PWA2572,-
PWA2573,-
PWA2577,-
PWA2578,"3,500"
PWA2605,-
PWA2606,-
PWA2607,-
PWA2608,-
PWA2612,-
PWA2614,-
PWA2618,-
PWA2621,"2,500"
PWA2622,-
PWA2623,-
PWA2624,-
PWA2625,"(6,000)"
PWA2581,-
PWA2583,-
PWA2584,-
PWA2587,(500)
PWA2590,(300)
PWA2591,500
PWA2596,"1,500"
PWA2597,(300)
PWA2598,-
PWA2601,"1,000"
PWA2629,-
PWA2631,"(1,000)"
PWA2632,"6,250"
PWA2637,"4,250"
PWA2639,"4,000"
PWA2640,-
PWA2641,-
PWA2643,-
PWA2644,-
PWA2645,-
PWA2646,-
PWA2647,"7,200"
PWA2648,"9,000"
PWA2649,-
PWA2651,-
PWA2681,-
PWA2685,-
PWA2687,"2,000"
PWA2690,-
PWA2691,-
PWA2693,-
PWA2696,-
PWA2697,-
PWA2699,-
PWA2700,-
PWA2701,"3,000"
PWA2702,"5,500"
PWA2703,-
PWA2653,-
PWA2657,-
PWA2658,-
PWA2659,-
PWA2660,-
PWA2664,-
PWA2665,-
PWA2667,-
PWA2668,(500)
PWA2669,-
PWA2670,-
PWA2671,-
PWA2673,"8,500"
PWA2674,-
PWA2675,-
PWA2676,-
PWA2706,-
PWA2707,850
PWA2708,-
PWA2709,-
PWA2710,-
PWA2711,-
PWA2712,-
PWA2714,-
PWA2716,-
PWA2717,-
PWA2721,500
PWA2722,-
PWA2723,-
PWA2725,-
PWA2726,-
PWA2728,-
PWA2730,"9,500"
PWA2731,"4,000"
PWA2732,-
PWA2736,-
PWA2738,-
PWA2739,-
PWA2740,"1,500"
PWA2742,-
PWA2744,-
PWA2745,-
PWA2746,-
PWA/2747/,-
PWA/2749/,"1,500"
PWA/2750/,-
PWA/2751/,-
PWA/2752/,-
PWA/2753/,-
PWA/2754/,800
PWA/2757/,"2,000"
PWA/2759/,"23,900"
PWA/2760/,-
PWA/2761/,-
PWA/2762/,"3,500"
PWA/2763/,300
PWA/2765/,-
PWA/2766/,-
PWA/2767/,-
PWA/2768/,-
PWA/2769/,"(1,000)"
PWA/2770/,-
PWA/2771/,-
PWA/2772/,-
PWA/2773/,"1,000"
PWA/2775/,-
PWA/2777/,-
PWA/2780/,-
PWA/2782/,-
PWA/2783/,-
PWA/2784/,-
PWA/2785/,-
PWA/2786/,-
PWA/2787/,-
PWA/2788/,-
PWA/2790/,-
PWA/2791/,-
PWA/2794/,-
PWA/2795/,-
PWA/2796/,-
PWA/2797/,-
PWA/2798/,-
PWA/2799/,-
PWA/2800/,-
PWA/2801/,-
PWA/2802/,-
PWA/2804/,-
PWA/2807/,-
PWA/2808/,"36,750"
PWA/2810/,-
PWA/2811/,-
PWA/2815/,-
PWA/2816/,-
PWA/2817/,-
PWA/2818/,-
PWA/2820/,-
PWA/2823/,-
PWA/2824/,-
PWA/2825/,-
PWA/2826/,"3,000"
PWA/2827/,-
PWA/2828/,-
PWA/2829/,-
PWA/2830/,-
PWA/2832/,"12,500"
PWA/2833/,-
