admission_number,net_value
PWA2258,51500.0
PWA2267,44250.0
PWA2269,50.0
PWA2274,3000.0
PWA2284,-300.0
PWA2291,1500.0
PWA2299,12000.0
PWA2304,-10000.0
PWA2313,-1000.0
PWA2316,-3500.0
PWA2317,5000.0
PWA2326,10000.0
PWA2331,1000.0
PWA2333,-1000.0
PWA2338,68500.0
PWA2344,4000.0
PWA2346,-500.0
PWA2347,3000.0
PWA2350,4000.0
PWA2363,12000.0
PWA2368,18775.0
PWA2370,3000.0
PWA2374,44250.0
PWA2380,5000.0
PWA2395,2300.0
PWA2417,10500.0
PWA2419,1200.0
PWA2421,-1000.0
PWA2425,-500.0
PWA2429,-500.0
PWA2439,8500.0
PWA2448,40500.0
PWA2451,6000.0
PWA2463,2000.0
PWA2464,2500.0
PWA2503,1500.0
PWA2504,600.0
PWA2507,-1750.0
PWA2520,4500.0
PWA2532,500.0
PWA2535,-500.0
PWA2542,4250.0
PWA2548,1350.0
PWA2552,-1000.0
PWA2553,1500.0
PWA2559,-300.0
PWA2578,3500.0
PWA2621,2500.0
PWA2625,-6000.0
PWA2587,-500.0
PWA2590,-300.0
PWA2591,500.0
PWA2596,1500.0
PWA2597,-300.0
PWA2601,1000.0
PWA2631,-1000.0
PWA2632,6250.0
PWA2637,4250.0
PWA2639,4000.0
PWA2647,7200.0
PWA2648,9000.0
PWA2687,2000.0
PWA2701,3000.0
PWA2702,5500.0
PWA2668,-500.0
PWA2673,8500.0
PWA2707,850.0
PWA2721,500.0
PWA2730,9500.0
PWA2731,4000.0
PWA2740,1500.0
PWA/2749/,1500.0
PWA/2754/,800.0
PWA/2757/,2000.0
PWA/2759/,23900.0
PWA/2762/,3500.0
PWA/2763/,300.0
PWA/2769/,-1000.0
PWA/2773/,1000.0
PWA/2808/,36750.0
PWA/2826/,3000.0
PWA/2832/,12500.0
PWA/2844/,7000.0
PWA/2845/,3000.0
PWA/2846/,-5000.0
PWA/2848/,2500.0
PWA/2849/,13350.0
PWA/2850/,18000.0
PWA/2865/,-500.0
PWA/2872/,3900.0
PWA/2886/,13000.0
PWA/2908/,-3.0
PWA/2916/,18500.0
PWA/2921/,100.0
PWA/2929/,-12500.0
PWA/2935/,28000.0
PWA/2936/,1000.0
PWA/2944/,2000.0
PWA/2945/,8500.0
PWA/2946/,-2900.0
PWA/2950/,-2900.0
PWA/2960/,-200.0
PWA/2969/,-500.0
PWA/2999/,-8000.0
PWA/3000/,-8000.0
PWA/3004/,500.0
PWA/3008/,500.0
PWA/3010/,2400.0
PWA/3012/,8000.0
PWA/3016/,-4900.0
PWA/3018/,2500.0
PWA/3022/,14000.0
PWA/3023/,15000.0
PWA/3024/,16500.0
PWA/3030/,8500.0
PWA/3033/,3500.0
PWA/3035/,2200.0
PWA/3038/,5500.0
PWA/3040/,3000.0
PWA/3047/,10500.0
PWA/3048/,2600.0
PWA/3052/,35000.0
PWA/3061/,15500.0
PWA/3065/,11550.0
PWA/3079/,-100.0
PWA/3084/,3000.0
PWA/3092/,5500.0
PWA/3094/,9000.0
PWA/3097/,2500.0
PWA/3101/,500.0
PWA/3110/,-500.0
PWA/3122/,-500.0
PWA/3134/,-650.0
PWA/3138/,5000.0
PWA/3143/,1500.0
PWA/3144/,7500.0
PWA/3155/,26500.0
PWA/3158/,5000.0
PWA/3161/,12000.0
PWA/3162/,8000.0
PWA/3175/,-725.0
PWA/3184/,15500.0
PWA/3203/,1500.0
